OTU_ID	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	taxonomy
OTU_38	60	0	95	172	146	0	74	0	49	67	0	58	141	167	0	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Sandaracinaceae; g__uncultured; s__unclassified_uncultured
OTU_39	68	0	184	91	82	52	28	16	12	45	74	57	93	223	36	d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
OTU_40	151	7	116	160	86	42	37	48	0	78	56	74	87	107	41	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia; s__unclassified_Woeseia
OTU_41	44	0	59	71	33	85	99	122	90	51	104	151	72	78	106	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__B2M28; f__B2M28; g__B2M28; s__uncultured_gamma
OTU_42	76	0	109	112	50	61	74	27	0	67	94	2	61	94	59	d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
OTU_43	50	0	71	88	46	63	82	89	47	57	91	162	82	100	61	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_Gram-positive
OTU_44	76	97	52	0	0	155	114	139	198	150	57	72	61	46	68	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes_BD2-2; g__Bacteroidetes_BD2-2; s__unclassified_Bacteroidetes_BD2-2
OTU_45	86	58	0	0	0	170	96	2	165	2	64	130	40	0	234	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__uncultured; s__uncultured_delta
OTU_46	36	137	39	12	16	163	79	126	207	229	21	26	23	0	72	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__uncultured; s__uncultured_Desulfocapsa
OTU_47	59	0	39	246	50	37	21	23	10	20	112	174	98	114	146	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Sandaracinaceae; g__uncultured; s__uncultured_delta
OTU_48	96	80	57	31	14	114	107	114	166	136	45	55	34	22	110	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__B2M28; f__B2M28; g__B2M28; s__unclassified_B2M28
OTU_49	109	0	100	94	46	58	51	64	38	108	35	84	87	123	19	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia; s__unclassified_Woeseia
