#SampleID	PCA1	PCA2
0	-0.187448573667612	0.0393662629894122
1	-0.0545666502165723	-0.00745088351644334
10	-0.0422020756641349	-0.0312976064878672
11	0.0197093211593327	-0.00260751116837214
12	0.0635198469404497	-0.00299045903834522
13	-0.0130361463142798	-0.00975600082432648
14	-0.0100237887999736	-0.00189992563708284
15	0.00904500659387371	0.0640887082765372
16	5.73260369899696e-05	-0.00728219602341717
17	0.136680860290721	0.108455520671629
18	0.139470380866274	0.0746147185496811
19	0.171866320521138	0.140830059332646
2	0.0821034122798416	-0.0233173750707465
21	0.120123411536778	0.0443592831793919
22	0.00446004103211697	0.0112528069273276
23	0.0118693748766747	0.00850138989175555
24	-0.0134464488398535	0.0121363541905405
25	0.00329592379036531	0.0140577665585139
26	0.278050074688384	0.263281808976517
27	0.18147416600453	0.337877985321018
28	0.0428318797210084	0.0390058228868221
29	0.043245063742707	0.020876884181149
3	0.190516095898542	-0.177850379837643
30	-0.053059600061425	0.00393814271812921
31	-0.0640884901928601	-0.0139859811768996
32	0.0123758434500261	0.0382522743323426
33	0.0687769773269334	0.0813218764241666
34	0.0586351166722483	0.0444043716036473
35	0.142752305132319	0.00301164587504729
36	0.0403232712801794	-0.0172326229984927
37	0.00649856023850539	0.000752526636061604
38	0.133191414556886	0.0365716266730784
38A	0.532899519616475	-0.0661534115106348
39	0.0632860683593935	0.0414281148555862
4	-0.0028476258546253	-0.0158320766296856
40	0.0162922167357018	-0.0864650847197079
41	-0.010455583170999	-0.0334081477027666
42	0.0555269408429658	-0.229861260675708
43	-0.0352461984341366	-0.105098463350886
44	0.0490806863398447	-0.146511937614402
45	-0.046250060213967	0.0187142616378604
46	0.05884225148468	-0.101363711686036
47	0.024650047351114	-0.0670864449579023
48	-0.0117627003013775	-0.129132791129012
49	0.0271032007608082	-0.117248566432229
5	0.0985118189407	0.116574041587823
50	0.00186593452221829	0.0441636739259471
51	0.0236866541544359	0.0314417345930912
51A	0.500211741740893	-0.0962104221511972
52	0.0190754730314926	0.026673623954669
52A	0.424965685694047	-0.0646454077331213
53	-0.00608856416878533	0.0772040652496745
54	-0.00676779254432453	0.0323740404069137
54A	0.47518587080892	-0.105224154301024
55	0.0235513107175475	0.0355751305465038
56	-0.0105001275802045	0.0412073857971692
56A	0.501789688821262	-0.099228949224214
57	-0.0929786550003976	0.033491619359842
58	-0.118772026070472	-0.0345346824693438
59	-0.145713762523481	-0.0331749433412358
6	0.169313405897044	0.0220481175687407
60	-0.167857902347441	-0.0401610252110542
61	-0.277468163521216	-0.0875328387080865
62	-0.293905782690733	-0.0416889333856363
63	-0.274559127780372	-0.01012349899447
64	-0.365696789679762	-0.019832056921339
65	-0.341244014959141	-0.000195505232464817
66	-0.377165493107298	0.00480517127590798
67	-0.387754834906537	0.00148750218904003
68	-0.372172241848328	-0.00542084867997681
69	-0.408746272574154	0.000819474812950341
7	0.0564143931292971	0.00422586837780291
70	-0.442146588401561	0.011320880599358
71	-0.434161133722507	-0.0106384457302708
8	0.0120090693347015	-0.0271776040839638
9	-0.0270007577618359	0.13910961142171
